domain,source,name
04.edu,academic_domains,
1jwu.edu,academic_domains,
1osu.edu,academic_domains,
1sa55gik1.edu,academic_domains,
20poly.edu,academic_domains,
22cf.edu,academic_domains,
290tech.edu,academic_domains,
3ponts.edu,academic_domains,
4dcollege.edu,academic_domains,
aa.edu,academic_domains,
aaa.edu,academic_domains,
aaaom.edu,academic_domains,
aaart.edu,academic_domains,
aacsb.edu,academic_domains,
aada.edu,academic_domains,
aae.edu,academic_domains,
aaimt.edu,academic_domains,
aalep.edu,academic_domains,
aami.edu,academic_domains,
aapt.edu,academic_domains,
aast.edu,academic_domains,
aati.edu,academic_domains,
aau.edu,academic_domains,
aauni.edu,academic_domains,
aaup.edu,academic_domains,
abatoliba.edu,academic_domains,
abbc.edu,academic_domains,
abcadultschool.edu,academic_domains,
abconline.edu,academic_domains,
abcotechnology.edu,academic_domains,
abcott.edu,academic_domains,
abi.edu,academic_domains,
abs.edu,academic_domains,
abscosmo.edu,academic_domains,
abt.edu,academic_domains,
abtu.edu,academic_domains,
abu.edu,academic_domains,
abuurn.edu,academic_domains,
ac.edu,academic_domains,
acacia.edu,academic_domains,
acadeia.edu,academic_domains,
academia.edu,academic_domains,
academiaschool.edu,academic_domains,
academic.edu,academic_domains,
academy.edu,academic_domains,
academyofcosmetology.edu,academic_domains,
acba.edu,academic_domains,
acberg.edu,academic_domains,
acbhd.edu,academic_domains,
acbsp.edu,academic_domains,
accademiavenezia.edu,academic_domains,
accd.edu,academic_domains,
accesscareers.edu,academic_domains,
accessibility.edu,academic_domains,
acchs.edu,academic_domains,
acck.edu,academic_domains,
accs.edu,academic_domains,
acd.edu,academic_domains,
acdireland.edu,academic_domains,
acecareer.edu,academic_domains,
acenet.edu,academic_domains,
aces.edu,academic_domains,
acg.edu,academic_domains,
ach.edu,academic_domains,
ache.edu,academic_domains,
aci.edu,academic_domains,
acmc.edu,academic_domains,
acom.edu,academic_domains,
acon.edu,academic_domains,
acot.edu,academic_domains,
acs.edu,academic_domains,
acuniversity.edu,academic_domains,
acupuncture.edu,academic_domains,
acupuncturist.edu,academic_domains,
adamscollege.edu,academic_domains,
adamsmith.edu,academic_domains,
adamsu.edu,academic_domains,
adec.edu,academic_domains,
adhe.edu,academic_domains,
adison.edu,academic_domains,
adler.edu,academic_domains,
adrews.edu,academic_domains,
adschool.edu,academic_domains,
adu.edu,academic_domains,
adultedventura.edu,academic_domains,
aduonline.edu,academic_domains,
advanced.edu,academic_domains,
advancedtraining.edu,academic_domains,
aec.edu,academic_domains,
aegean.edu,academic_domains,
aeli.edu,academic_domains,
aels.edu,academic_domains,
aerobics.edu,academic_domains,
aesa.edu,academic_domains,
aesd.edu,academic_domains,
aestheticscienceinstitute.edu,academic_domains,
aeu.edu,academic_domains,
af.edu,academic_domains,
afa.edu,academic_domains,
aflbs.edu,academic_domains,
afna.edu,academic_domains,
afoc.edu,academic_domains,
afredstate.edu,academic_domains,
africainternational.edu,academic_domains,
agape.edu,academic_domains,
agbu.edu,academic_domains,
agnes.edu,academic_domains,
ags.edu,academic_domains,
agseminary.edu,academic_domains,
agts.edu,academic_domains,
agu.edu,academic_domains,
aha.edu,academic_domains,
ahc.edu,academic_domains,
ahci.edu,academic_domains,
ahcp.edu,academic_domains,
ahec.edu,academic_domains,
ahu.edu,academic_domains,
aibschool.edu,academic_domains,
aic-arts.edu,academic_domains,
aica.edu,academic_domains,
aiccu.edu,academic_domains,
aicm.edu,academic_domains,
aicuo.edu,academic_domains,
aid.edu,academic_domains,
aids.edu,academic_domains,
aidt.edu,academic_domains,
aie.edu,academic_domains,
aifl.edu,academic_domains,
aiias.edu,academic_domains,
aiid.edu,academic_domains,
aim.edu,academic_domains,
aimc.edu,academic_domains,
aimm.edu,academic_domains,
aimsed.edu,academic_domains,
aiot.edu,academic_domains,
aipx.edu,academic_domains,
ais.edu,academic_domains,
aish.edu,academic_domains,
aism.edu,academic_domains,
ajrca.edu,academic_domains,
ala.edu,academic_domains,
alameenpharmacy.edu,academic_domains,
alanus.edu,academic_domains,
alaskacc.edu,academic_domains,
alazhar-gaza.edu,academic_domains,
albanylaw.edu,academic_domains,
albcschool.edu,academic_domains,
albertson.edu,academic_domains,
aldergse.edu,academic_domains,
alexanderpaul.edu,academic_domains,
alfonsiana.edu,academic_domains,
alfredadler.edu,academic_domains,
alhambrabeauty.edu,academic_domains,
alidallas.edu,academic_domains,
all.edu,academic_domains,
allenschool.edu,academic_domains,
allhealth.edu,academic_domains,
alliance.edu,academic_domains,
alliantmexico.edu,academic_domains,
allison.edu,academic_domains,
allstate.edu,academic_domains,
allstatecareer.edu,academic_domains,
almahdi.edu,academic_domains,
als.edu,academic_domains,
alsde.edu,academic_domains,
alska.edu,academic_domains,
altierus.edu,academic_domains,
alts.edu,academic_domains,
alumni.edu,academic_domains,
ama.edu,academic_domains,
ambs.edu,academic_domains,
amc.edu,academic_domains,
amcollege.edu,academic_domains,
amda.edu,academic_domains,
americal.edu,academic_domains,
americanbeauty.edu,academic_domains,
americanbeautycollege.edu,academic_domains,
americanbeautyschool.edu,academic_domains,
americaninternational.edu,academic_domains,
americanpathways.edu,academic_domains,
americansentinel.edu,academic_domains,
americantradeschool.edu,academic_domains,
americanwinds.edu,academic_domains,
ameritech.edu,academic_domains,
amg.edu,academic_domains,
amgtgmu.edu,academic_domains,
ami.edu,academic_domains,
amity.edu,academic_domains,
amiu.edu,academic_domains,
amlotus.edu,academic_domains,
amman.edu,academic_domains,
amnc.edu,academic_domains,
amnh.edu,academic_domains,
amsc.edu,academic_domains,
amsu.edu,academic_domains,
amtec.edu,academic_domains,
amu.edu,academic_domains,
amunet.edu,academic_domains,
an.edu,academic_domains,
andovercollege.edu,academic_domains,
andrewuniversity.edu,academic_domains,
anho.edu,academic_domains,
animschool.edu,academic_domains,
anschutz.edu,academic_domains,
anthem.edu,academic_domains,
antichcollege.edu,academic_domains,
antigua.edu,academic_domains,
antillespr.edu,academic_domains,
antioch-college.edu,academic_domains,
antiochcollege.edu,academic_domains,
antiochcollegeag.edu,academic_domains,
antiochiana.edu,academic_domains,
antiochmidwest.edu,academic_domains,
antiochschool.edu,academic_domains,
antiochseattle.edu,academic_domains,
antonellicollege.edu,academic_domains,
antrhoufl.edu,academic_domains,
ants.edu,academic_domains,
anu.edu,academic_domains,
aoa.edu,academic_domains,
aoma.edu,academic_domains,
aou.edu,academic_domains,
aparicio-levy.edu,academic_domains,
apeejay.edu,academic_domains,
apexcvt.edu,academic_domains,
apexsot.edu,academic_domains,
apollo.edu,academic_domains,
apollocollege.edu,academic_domains,
apollogrp.edu,academic_domains,
apollos.edu,academic_domains,
apologeticsacademy.edu,academic_domains,
apostolic.edu,academic_domains,
appa.edu,academic_domains,
appsate.edu,academic_domains,
aps.edu,academic_domains,
aptc.edu,academic_domains,
aqsa.edu,academic_domains,
aquinas-tn.edu,academic_domains,
arazona.edu,academic_domains,
arbs.edu,academic_domains,
arclabs.edu,academic_domains,
ariziona.edu,academic_domains,
arizonacollege.edu,academic_domains,
arizonai.edu,academic_domains,
arizons.edu,academic_domains,
arkansas.edu,academic_domains,
arkansasfashionschool.edu,academic_domains,
arkive.edu,academic_domains,
arknet.edu,academic_domains,
armyuniversity.edu,academic_domains,
armywarcollege.edu,academic_domains,
artacademy.edu,academic_domains,
artinstitute.edu,academic_domains,
artinstructionschools.edu,academic_domains,
artistic.edu,academic_domains,
as.edu,academic_domains,
asaom.edu,academic_domains,
asc.edu,academic_domains,
ascbs.edu,academic_domains,
asfjoawa.edu,academic_domains,
asher.edu,academic_domains,
ashworthuniversity.edu,academic_domains,
asicollege.edu,academic_domains,
asiktu.edu,academic_domains,
asismassage.edu,academic_domains,
asl.edu,academic_domains,
asn.edu,academic_domains,
asri.edu,academic_domains,
ast.edu,academic_domains,
astrodome.edu,academic_domains,
asumidsouth.edu,academic_domains,
asuosenate.edu,academic_domains,
asusystem.edu,academic_domains,
asutr.edu,academic_domains,
at-homeprofessions.edu,academic_domains,
atacollege.edu,academic_domains,
atafl.edu,academic_domains,
atech.edu,academic_domains,
atechcollege.edu,academic_domains,
atenascollege.edu,academic_domains,
athena.edu,academic_domains,
athenacareers.edu,academic_domains,
athenaeum.edu,academic_domains,
atis.edu,academic_domains,
atitraining.edu,academic_domains,
atlantasciencefestivalgsu.edu,academic_domains,
atlantictechnicalcollege.edu,academic_domains,
atlantis.edu,academic_domains,
atlantisuniversity.edu,academic_domains,
atlm.edu,academic_domains,
atom.edu,academic_domains,
atp.edu,academic_domains,
ats.edu,academic_domains,
atsu.edu,academic_domains,
atuw.edu,academic_domains,
aua.edu,academic_domains,
aubih.edu,academic_domains,
auburnschl.edu,academic_domains,
aucal.edu,academic_domains,
augustine.edu,academic_domains,
auhs.edu,academic_domains,
auhtc.edu,academic_domains,
aui.edu,academic_domains,
auis.edu,academic_domains,
aultmancollege.edu,academic_domains,
aup.edu,academic_domains,
aupr.edu,academic_domains,
austin.edu,academic_domains,
austinc.edu,academic_domains,
austincareerinstitute.edu,academic_domains,
austingrad.edu,academic_domains,
australia.edu,academic_domains,
autonoma.edu,academic_domains,
autotraining.edu,academic_domains,
autrytech.edu,academic_domains,
avalon.edu,academic_domains,
aveda.edu,academic_domains,
avedaarts.edu,academic_domains,
avedafi.edu,academic_domains,
avedainstitutessouth.edu,academic_domains,
avemarialaw.edu,academic_domains,
avenuefive.edu,academic_domains,
aviation.edu,academic_domains,
aviationinstitute.edu,academic_domains,
aviationmaintenance.edu,academic_domains,
aviator.edu,academic_domains,
awc.edu,academic_domains,
awi.edu,academic_domains,
azaruniv.edu,academic_domains,
azregents.edu,academic_domains,
azsummitlaw.edu,academic_domains,
azusaadult.edu,academic_domains,
bae.edu,academic_domains,
bakeraviation.edu,academic_domains,
bamuni.edu,academic_domains,
bankstreet.edu,academic_domains,
baptistcollege.edu,academic_domains,
barbarigo.edu,academic_domains,
barnesjewishcollege.edu,academic_domains,
barrett.edu,academic_domains,
basf.edu,academic_domains,
bassett.edu,academic_domains,
batc.edu,academic_domains,
batestech.edu,academic_domains,
bath.edu,academic_domains,
baxterinstitute.edu,academic_domains,
bayantech.edu,academic_domains,
baylorhealth.edu,academic_domains,
bayside.edu,academic_domains,
bbsr.edu,academic_domains,
bbtc.edu,academic_domains,
bcc.edu,academic_domains,
bccr.edu,academic_domains,
bchigh.edu,academic_domains,
bchs.edu,academic_domains,
bcsbc.edu,academic_domains,
bcsmn.edu,academic_domains,
bcu.edu,academic_domains,
bcva.edu,academic_domains,
bcw.edu,academic_domains,
beacon.edu,academic_domains,
bealcollege.edu,academic_domains,
beaumont.edu,academic_domains,
beautycareer.edu,academic_domains,
beautycareers.edu,academic_domains,
beautyschools.edu,academic_domains,
beckfield.edu,academic_domains,
bedah-saraf.edu,academic_domains,
bei.edu,academic_domains,
bekreley.edu,academic_domains,
bellusacademy.edu,academic_domains,
belrea.edu,academic_domains,
bem.edu,academic_domains,
benes.edu,academic_domains,
berekely.edu,academic_domains,
bergencommunity.edu,academic_domains,
berkeleuy.edu,academic_domains,
berkely.edu,academic_domains,
berkleey.edu,academic_domains,
berkley-u.edu,academic_domains,
berkley.edu,academic_domains,
berks.edu,academic_domains,
berkshire.edu,academic_domains,
bestcarecollege.edu,academic_domains,
bethanygu.edu,academic_domains,
bethbc.edu,academic_domains,
bethel-college.edu,academic_domains,
bethel-in.edu,academic_domains,
betheluniversity.edu,academic_domains,
bethlks.edu,academic_domains,
bethrivkah.edu,academic_domains,
beulah.edu,academic_domains,
bexleyseabury.edu,academic_domains,
bgsp.edu,academic_domains,
bgu.edu,academic_domains,
bharatividyapeeth.edu,academic_domains,
bhclr.edu,academic_domains,
bhdi.edu,academic_domains,
bhi.edu,academic_domains,
bhmb.edu,academic_domains,
bhs.edu,academic_domains,
bhslr.edu,academic_domains,
bi.edu,academic_domains,
bia.edu,academic_domains,
bibleschool.edu,academic_domains,
biblia.edu,academic_domains,
