rank,parent_institution,urls_scanned,reachable,coverage_pct
1,Other,2388,2253,94.3
2,Genesis Career College,140,140,100.0
3,East Mississippi Community College,136,136,100.0
4,Home Ozarka College,135,134,99.3
5,California State University,54,48,88.9
6,Adelphi University,44,44,100.0
7,Illinois State University,42,42,100.0
8,Duke University,41,41,100.0
9,Florida International University,41,41,100.0
10,Georgia State University,41,41,100.0
11,Emory University Home Page,40,40,100.0
12,Georgia Institute of Technology,39,39,100.0
13,Homepage — University of Louisville,33,33,100.0
14,George Fox University,33,33,100.0
15,Lafayette College · Lafayette College,32,32,100.0
16,George Washington University,32,31,96.9
17,Dartmouth College,31,31,100.0
18,Columbus State University,30,30,100.0
19,International University of Business Agriculture and Technology,28,28,100.0
20,Arizona State University,27,27,100.0
21,Iowa State University of Science and Technology,27,27,100.0
22,"California State University, Fullerton",26,26,100.0
23,Howard University,26,26,100.0
24,Auburn University,25,25,100.0
25,California Polytechnic State University - San Luis Obispo,24,24,100.0
26,Foothill College Home,24,24,100.0
27,King University,23,23,100.0
28,"Highline Community College (HCC), Des Moines, WA (Washington State Community Colleges)",23,23,100.0
29,Indiana Institute of Technology,22,22,100.0
30,Des Moines Area Community College,22,22,100.0
31,Bard College,21,21,100.0
32,Central Michigan University,21,21,100.0
33,Brigham Young University,21,21,100.0
34,Family of Faith College â A Light to the Nations,20,19,95.0
35,College of William and Mary,20,20,100.0
36,Colorado State University,20,19,95.0
37,Barton County Community College,20,20,100.0
38,Illinois Institute of Technology,20,20,100.0
39,Fuller Theological Seminary,19,19,100.0
40,Kalamazoo College,19,19,100.0
41,Hanover College,18,18,100.0
42,Barnard College,18,18,100.0
43,Indiana University at South Bend,17,17,100.0
44,John Wood Community College,17,17,100.0
45,Biola University,17,17,100.0
46,Drexel University,16,15,93.8
47,Assumption University of Thailand,16,15,93.8
48,Fullerton College,16,15,93.8
49,Campbell University,16,16,100.0
50,Excelsior College,16,16,100.0
51,Clemson University,15,15,100.0
52,Al-Quds University - The Arab University in Jerusalem,14,14,100.0
53,Bryant University,14,14,100.0
54,Case Western Reserve University,14,14,100.0
55,DePaul University,14,14,100.0
56,California Lutheran University,14,14,100.0
57,Brandeis University,13,13,100.0
58,College of Marin,13,13,100.0
59,Christendom College,13,13,100.0
60,An-Najah National University,13,13,100.0
61,Antioch University,13,13,100.0
62,College Degree Online,13,13,100.0
63,Arkansas State University,13,13,100.0
64,Kennesaw State University,13,13,100.0
65,University of California,13,12,92.3
66,Coastal Carolina University,13,13,100.0
67,Boston University,13,13,100.0
68,Kansas State University,13,13,100.0
69,Eastern Washington University,12,12,100.0
70,Brown University,12,12,100.0
71,Accredited College Degree Programs Online,12,12,100.0
72,Creighton University,12,12,100.0
73,Carleton College,12,12,100.0
74,East Tennessee State University,12,12,100.0
75,Florida Institute of Technology,12,12,100.0
76,Columbia University in the City of New York,12,12,100.0
77,Cornell University,11,11,100.0
78,California College of the Arts,11,11,100.0
79,Hofstra University,11,11,100.0
80,Ave Maria University > Home,11,11,100.0
81,Bowdoin College,11,11,100.0
82,Brigham Young University - Idaho,11,11,100.0
83,"A Liberal Arts College in Colorado, Fort Lewis College, Durango, CO",11,11,100.0
84,Appalachian State University,11,11,100.0
85,California Institute of Technology,11,11,100.0
86,American University in Dubai,11,11,100.0
87,Elmhurst College,11,11,100.0
88,Bellarmine University,11,11,100.0
89,[CSI] College of Southern Idaho,11,11,100.0
90,Harvard University,11,11,100.0
91,California State University Channel Islands (CSUCI),11,11,100.0
92,Elizabethtown College,11,11,100.0
93,Jesuit School of Theology of Santa Clara University in Berkeley,11,10,90.9
94,Eastern Maine Community College,11,11,100.0
95,Drury University,11,11,100.0
96,"Frostburg State University is a comprehensive regional university offering strong programs in liberal arts and sciences, business, education, environmental studies and the arts",11,11,100.0
97,Furman University,11,11,100.0
98,Abraham Baldwin Agricultural College,10,10,100.0
99,Colgate is a nationally recognized liberal arts college set on a beautiful campus in central New York.,10,10,100.0
100,"Barry University, Miami Shores, Florida",10,10,100.0
101,Edgewood College,10,10,100.0
102,Baylor College of Medicine,10,10,100.0
103,"Grand Canyon University is a private Christian University in Phoenix, AZ",10,10,100.0
104,Cedarville University,10,10,100.0
105,Bowling Green State University,10,10,100.0
106,Jerusalem University College,10,10,100.0
107,Kean University of New Jersey,10,10,100.0
108,Home â Salem College,10,10,100.0
109,Korea University,10,10,100.0
110,College of Osteopathic Medicine of the Pacific (Western University of Health Sciences),10,10,100.0
111,Georgia College & State University,10,10,100.0
112,Hobart and William Smith Colleges,10,10,100.0
113,Midwest University,10,10,100.0
114,Augsburg College,9,9,100.0
115,Drake University,9,9,100.0
116,European University,9,9,100.0
117,Florida Southern College,9,9,100.0
118,Florida State College at Jacksonville,9,9,100.0
119,Gallaudet University,9,9,100.0
120,Guilford Technical Community College,9,9,100.0
121,Georgia Highlands College,9,9,100.0
122,College of Saint Benedict & Saint John\'s University,9,9,100.0
123,Harding University,9,9,100.0
124,Hillsdale College,9,9,100.0
125,IE University,9,9,100.0
126,"Gordon College, one of the top Christian colleges in America & New England",9,9,100.0
127,Arkansas Tech University,9,9,100.0
128,Forsyth Technical Community College,9,9,100.0
129,Brevard College,9,9,100.0
130,Clark University,9,9,100.0
131,Earlham College,9,9,100.0
132,Elon University,9,9,100.0
133,Florida Gulf Coast University,9,9,100.0
134,Henry Ford Community College,9,9,100.0
135,Central Virginia Community College,9,9,100.0
136,Hinds Community College in Mississippi,9,9,100.0
137,Home » Stamford International University (Thailand),8,8,100.0
138,James Madison University,8,8,100.0
